"ストーンサークルのカは、
イエティさまの　クリスタルで　ふういん
されているらしい…。　ウッキー！",67,"It seemed the power of
the stone circle was 
sealed by the Yeti's
crystal.



Oogi...
",96,,
"　　　おーい！　　みんなーー！
”あたらしい時代”が
　　　　　　　　　はじまるぞーーっ！",73,"Listen everybody!
We will begin a new 
age.",47,"Look! The New Dawn [is]
just over [#3031] horizon!




",
"なんという　ことでしょう……。
かぞえきれない　アステロイドの　らっかに
よってまきあげられた、チリや　ホコリが、
そらに　あつい　カベをつくり、
たいようの　ひかりを　さえぎって
しまいました……。",173,"What has happened?
The dust caused from 
the asteroids created
a very dense cloud
blocking out all of
the sun light.",123,"So, what happened…?
After [#3031] asteroid fe[ll],
huge c[lo]uds of dust
b[lo]wn from [#3031] impact
[fi][ll]ed [#3031] sky and
b[lo]cked out [#3031] sun.",
"こうして　あなたは　ティラノの　こぶんに
なりました。

さて！　それからの　あなたのみらいを
ちょっと　のぞいてみることにしましょう。

あなたたちに　さからえる　いきものは
だれもいません。　あなたたちは　たべて、
たべて、たべまくりました。
なん年………　いや、なん(17)、なん万年
もの　じかんがながれていきました。
　　　　　　そして…………",245,"You have decided to
become a follower of
the Tyrasaurus.
We shall take a look
at your future.

No one will go against
you anymore.
You can continue to
eat them all.
Thousands of years 
have passed... 
and then...

",230,"And… [#3637]t['s] how you
jo[in]ed [#3031] tyrannosaurs.




Anyway![#10]
Let['s] see what [#3031]
future [lo]oks [li]ke for
you.


There [is] no one who
can oppose you and
your new fr[ie]nds. You
eat, eat, eat… eat
every[#3233]ng [in] [si]ght!

Years go by…

Hundreds of years…
Thousands of years…

Time keeps on f[lo]w[in]g.
And [#3031]n…





",
"さて！　それからの　あなたのみらいを
ちょっと　のぞいてみることにしましょう。

こうして、あなたは
バードマンの　おうさまと　いっしょに
ウチュウへと　でかけました…。
そして　いちばんちかい　ほし　”つき”に
わたり、バードマンぶんめいをきずくことに
なるのです。
でも、ときには　ちきゅうが
なつかしくなって
もどってきているのです。",251,"We shall look into
to your future.

That is the way you
have gone into the
universe with the
father of the 
Bird-man.
You reached the 
nearest planet, the
Moon, and you will
create the Bird-man
civilization.
But you will return
here sometimes.",259,"Anyway![#10]
Let['s] see what [#3031]
future [lo]oks [li]ke for
you.


You set forth on a new
journey [in]to “outer
space[,”] [in] [#3031] service
of [#3031] Avian K[in]g.


You f[ly] [hi]gher and
[hi]gher… and [in] [ti]me, you
h[el]p to bu[il]d a new
Avian c[iv][ili]za[ti]on on [#3031]
nearest wor[ld][--][the] Moon.

In [ti]me, however, you
come to m[is]s your
former home, and come
back for a v[is][it].


But of [the] Avian K[in]g['s]
undy[in]g empire of
[in]t[el][li]gence, no trace
rema[in]s.

Instead…",
"さて！　それからの　あなたのみらいを
ちょっと　のぞいてみることにしましょう。

クジラ、もしくは
大がた　かいせいせいぶつ　と　たたかう
ラーゴンぞくは、
うみの　なかでは　ムテキ　でした。
さからえるものは　だれも　いません。

ラーゴン
「ガハハハッ！　くえ！　くえ！
　くいつくせっ！
　カこそ　せいぎだ。
　つよいものだけが　この　うみを
　しはい　するのだ！！」
…………こうして、
すべての　うみが　ラーゴンぞくの
しはい　するところと　なりました。
きょうぼうな　サメも、
カ　と　チエを　かねそなえたクジラぞくも
すべてが　ラーゴンぞくに
せいふくされたのです。………そして、
ながい　ねんげつが………　いく(17)、
いく万年もの時かんが　ながれました。",517,"We shall look into 
your future.

The Whales and Rogons
were invincible in the
sea.
There was no one to 
go against them.

Rogon:
""Eat! Eat! Eat them
all! We have the 
strongest power. The
strongest one will
control this planet.""
Rogons conquered all
the sea. Even the
strongest sharks and
whales with great
intelligence obeyed
him.
Thousands of years
have passed...
",392,"Anyway![#10]
Let['s] see what [#3031]
future [lo]oks [li]ke for
you.


The Lagons con[ti]nue
to make war on [the]
wha[le]s and a[ll] o[#3031]r
ocean [li]fe. They are
near[ly] [in]v[in]cib[le]! No one
can oppose you.
Lagon Commander:
“Gahahahah[!!] Ours! It['s]
 ours! Take [it] a[ll]! Eat
 [it] a[ll]! Might [is] right!
 The strongest w[ill] ru[le]
 [#3031] sea[!”]
And so [#3031] Lagons
conquer [#3031] sea. The
frenz[ie]d sharks, [#3031]
great and w[is]e wha[le]s…
a[ll] are comp[le]t[el]y swept
away.
Years go by…

Hundreds of years…
Thousands of years…

Time keeps on f[lo]w[in]g.",
"こうして　あなたは、
かれらの　こきょうに　むかいました……。

その　ながい　たびじの　とちゅう、
あなたは　かれらから
いろいろな　はなしを　ききました…。",97,"And then you went to
their home.

During a long journey
you heard about 
stories from them.",98,"And so you depart
w[it]h [#3031] v[is][it]ors toward
[#3031]ir d[is]tant home.

Dur[in]g [#3031] [lo]ng journey,
[#3031]y exp[la][in] every[thi]ng…",
"
　　　　ｅNIX　ｐRｅSｅNTS

　　いまから、およそ
　　　　　　４６億年まえ…………。

”いだいなる　たいよう”は、
９人の”こども　ぼし”を　もうけ
その　３ばんめの”むすめ　ぼし”を

　　　”ガイア”と　名づけた……。
",170,"It is more than 4.6
billion years ago.

The great sun had nine
small planets.

He named the third
planet ""Gaia"".
",123,,
"
　　　　ｅNIX　ｐRｅSｅNTS

　　いまから、およそ
　　　　　　４６億年まえ…………。

”いだいなる　たいよう”は、
９人の”こども　ぼし”を　もうけ
その　３ばんめの”むすめ　ぼし”を

　　　”ガイア”と　名づけた……。
",170,"It is more than 4.6
billion years ago.

The great sun had nine
small planets.

He named the third
planet ""Gaia"".
",123,,
"
　　　　　　　　あき
",16,"You barely escaped!
However, at that time
the world of Dinosaurs
was.....

",82,,
